Core Marketing;Topic;Question;1;2;3;4;5
Global Organization;Strategy;Do you define and steer your marketing strategy based on data & AI?; Customer value and trust vaguely mentioned in strategy, but no systematic measurement. No cross-team collaboration. No use case identification process; Measurable KPIs defined and monitored occasionally. Teams often working in silos. Agile methods sometimes used.; Regular KPI monitoring. Internal dashboards (monthly/weekly). Beginning of cross-functional collaboration for marketing purposes with high level roadmap; Data-driven decision-making. Dynamic dashboards tailored for different teams (e.g., sales). Cross-functional collaboration extends to analysis & decision-making  with high detailed roadmap; AI agents for budget planning, competitor tracking, trend forecasting. Automated reporting & database cleaning. End-to-end measurement.
Global Organization;People & Skills;Are your marketing, data and tech teams effectively integrated?; Data Marketing fully outsourced to an external media agency.; In-house marketing team (CRM, acquisition, CRO specialists) + IT team support.; Data analysts/scientists integrated into marketing decision-making.; Dedicated cross-functional marketing analytics team. Insights actively drive planning & execution.; Hybrid teams (marketing, IT, data science) working seamlessly with AI copilots. Marketing organization optimized around real-time insights.
Global Organization;Data Tools & Storage;Do you have a unified and scalable data ecosystem?; Data collected manually via exports, stored locally. Mostly third-party data, not linked with CRM, no CDP; APIs available. Mix of first- & third-party data. Storage still local. Partially linked to CRM / Campaigns; Some data moved to the cloud. Multiple data sources consolidated. Collection frequency increases & main interconnections existing; All data stored on the cloud, dynamically collected. Online & offline datasets cross-connected and analyzed. Integrated in CDP / Marketing automation Tools.; Unified data ecosystem with real-time synchronization. AI-driven integration and anomaly detection. Fully automated marketing data stack.
Customer Centricity;Customer Activation;Do you activate customer data across channels to drive engagement?; Basic CRM, generic newsletters, no personalization, no retention tracking;" Structured CRM data (emails, IDs, consent, clicks)
Basic segmentation (RFM, cart abandonment, birthday triggers), retention tacking (churn, repeat rate),  APIs retrieving sales/purchase history
First personalization mesurement A/B Testing
";" ML-based segmentation, newsletter performance reporting, performance measurement 
";" Advanced scoring (appetency scoring, product affinity, CLTV, churn), campaign optimization
Well-defined measurement strategy";" Hyper-personalization, AI agents orchestrating dynamic activations, AI-generated content, fully automated multi-channel campaigns.
AI-driven retention optimization (personalized offers, churn prevention).
Continuous performance measurement "
Customer Centricity;Customer Experience off;Can you deliver a consistent and personalized customer experience offline?; Poor data collection / historization & harmonization of offline activations; Omnichannel tracking links offline and online journeys; Offline interactions integrated into CRM and campaigns;;
Customer Centricity;Customer Experience on;Can you deliver a consistent and personalized customer experience online?; Analytics tool (e.g., GA4) installed, tracking sessions, clicks, conversions;"
Unique visitors and sessions identified, accurate cross-channel attribution"; Purchase funnel mapped and monitored, systematic A/B testing; Real-time personalization, AI chatbots, product recommendations; AI agents continuously detecting online/offline pain points and orchestrating customer journey improvements
Customer Centricity;Voice of Customer;Do you leverage customer feedback to continuously improve actions?;" Basic review collection (Google, Trustpilot, etc.)
Some sales conversations monitoring
"; Regular surveys (NPS), responses centralized;Network Survery and/or  Web scraping + basic analysis (frequency counts, categories); GenAI/NLP sentiment analysis, automatic alerts for negative trends; AI agents analyzing feedback in real time and generating automated brand responses
Marketing Performance;Marketing Measurement;Can you measure and attribute ROI across all marketing levers?; Online tracking tools available (e.g., GA4, Meta Ads), but siloed. Basic metrics (sessions, clicks) only.; Online & offline channels tracked (Paid Search, Social, TV, Radio, OOH). Users identified, metrics consolidated.; Basic attribution models (last-click, first-click) to more advanced Multi-touch or weighted attribution models. Manual bidding & reporting. Incrementality tests (A/B, geo-lift) sometimes run.;" Basic MMM/MMO models implemented. Rules-based or programmatic bidding. 
Some Test&Learn Strategy";"Unified sales funnel measurement AI/ML-driven MMM & MMO. Automated optimization of media mix and bids. Real-time measurement and predictive ROI dashboards.
Systematic strategical Test&Learn, A/B test logics"
Marketing Performance;Prices & Promotions;Do you optimize pricing and promotions based on data insights?; Price history database exists. Promotions & bundles flagged manually. Price update once or twice/ year; Competitors� prices benchmarked. Monitoring of discounts, bundles & promotions. Simple manual pricing adjustments considering demand & competition.; Price elasticity modeled, customer segmentation applied. Dashboards for daily monitoring. Product sales modeled (top/flop analysis, purchase funnel tracking).; Time-series models used to optimize prices over time (seasonality). Automated forecasting of promotion impact (sales lift, margin).; AI agents managing dynamic pricing and promotion optimization in real-time (stocks, demand, competitors). Continuous scenario testing with predictive impact dashboards.
Marketing Performance;Offer & Network;Do you leverage data to optimize assortment and distribution decisions?; Mapping of store network and channel coverage. Sales team size stored. ; Store-level product catalogues mapped. ; Geodemographic analysis vs. customers per region. Product/store relevance monitored.; Advanced scoring for assortments (best product-channel fit, regional patterns). Fine catchment area integration and shop commercial zone optimization. Size of sales team adjusted with seasonality.; AI-generated assortments & product recommendations for sales teams via dedicated apps. Dynamic adjustement of sales force and distribution channels size within the year and high/low season.
